Index,Platform,Year of first publishment,Articles,Article links,Age (for whom to be protected),For whom to use/control the safety features,WhoUseControl,SafetyFeatures,Problemarea,Content,Contact,Conduct,Contract,Circulation,Quotes
Meta1_2,Meta,2024,Supporting your child’s Teen Account,https://help.instagram.com/1555818391956130,Teens (13-15),Parents,Parents,Parental Control Settings,Parental Supervision,,,REVIEW_SAFETY_SETTINGS,,,"For parents and guardians of teens 16-17
Teens 16-17 can manage their own teen safety settings if they don’t have supervision set up. You can invite your teen to let you supervise their account, or they can invite you to supervise their account, which means you’ll approve or deny their teen safety setting changes and help them balance their time on Instagram. You can also make some of their settings even more protective. Supervision on Instagram is automatically removed when a teen turns 18."
Meta1_3,Meta,2021,How Do We Know Someone Is Old Enough to Use Our Apps?,https://about.fb.com/news/2021/07/age-verification/,ChildrenUnder13,Platform,Platform,Age Verification,Platform Access,,,,REPORTTING_ACCOUNT,,"We’re developing AI to find and remove underaged accounts, and new solutions to verify people’s ages"
Snapchat34,Snapchat,2024,What makes Snaps eligible for Spotlight?,https://help.snapchat.com/hc/en-us/articles/7012300442132-What-makes-Snaps-eligible-for-Spotlight,Teens (13-15),Platform,Platform,Content Creation Restrictions,Content Creation,,AGE_RESTRICTIONS_FOR_SPOTLIGHT,MINIMUM_AGE_OF_13,,,"Not everyone who is eligible for a Snapchat account (age 13+) can submit to Spotlight, in some markets you need to be 16+ such as France, Germany, and Ireland. Only Snapchatters who have a Public Profile can have their display name associated with their Spotlight Snap"
TikTok59,TikTok,2024,Community controls,https://www.tiktok.com/safety/en/community-controls,ChildrenUnder16,Platform,Platform,Content Collaboration Restrictions,Content Creation,,"DEFAULT_PRIVATE_ACCOUNT, DEFAULT_NO_SUGGESTING_ACCOUNT_TO_OTHERS",,,NO_DOWNLOADING_THEIR_VIDEOS,
Meta32,Meta,2021,Asking People for Their Birthdays,https://about.instagram.com/blog/announcements/asking-people-for-their-birthdays,Teens (13-17),Platform,Platform,Age Verification,Platform Access,,,,ADDITIONAL_PROOF,,"First, we’ll start to ask you for your birthday when you open Instagram. We’ll show you a notification a handful of times and if you haven’t provided us with your birthday by a certain point, you’ll need to share it to continue using Instagram. This information is necessary for new features we’re developing to protect young people.

Three phones in a row displaying the different steps to add your birthday in Instagram.
Second, if you see warning screens placed on posts, we’ll ask you for your birthday before you can see the post. These screens aren’t new, and we already show them on posts that may be sensitive or graphic, but we don’t currently ask for your birthday when viewing these posts. Now, we’ll start asking for your birthday on some of these screens if you haven’t shared it with us previously.

Three phones in a row displaying a warning screen on a Instagram post and the prompt screen to add your birthday.
We recognize some people may give us the wrong birthday, and we’re developing new systems to address this. As we shared recently, we’re using artificial intelligence to estimate how old people are based on things like “Happy Birthday” posts. In the future, if someone tells us they’re above a certain age, and our technology tells us otherwise, we’ll show them a menu of options to verify their age. This work is still in the early stages, and we look forward to sharing more soon.

We hope this explains why we’re starting to ask some people for their birthday, and why it is so important for our efforts to provide safer, more private experiences for young people. For more information, head to our Help Center."
Meta4,Meta,2013,Exploitation,https://help.instagram.com/659118497466447/?helpref=search&query=teen&search_session_id=a2bf3bf8ea1c5debe7fbc0da7bd42645&sr=35,ChildrenUnder13,Platform,Platform,Age Verification,Platform Access,,,,REPORTTING_ACCOUNT,,"You can also report a profile for posting content it shouldn't be, pretending to be someone else, or for being a child under the age of 13."
Meta41,Meta,2021,How Do We Know Someone Is Old Enough to Use Our Apps?,https://about.fb.com/news/2021/07/age-verification/,Teens (13-17),Platform,Platform,Age Verification,Platform Access,,,,AGE_DETECTION,,"Using AI to Detect Age
Artificial intelligence is the cornerstone of the approach we’re taking. We’ve developed technology that allows us to estimate people’s ages, like if someone is below or above 18. We train the technology using multiple signals. We look at things like people wishing you a happy birthday and the age written in those messages, for example, “Happy 21st Bday!” or “Happy Quinceañera.” We also look at the age you shared with us on Facebook and apply it to our other apps where you have linked your accounts and vice versa — so if you share your birthday with us on Facebook, we’ll use the same for your linked account on Instagram. This technology isn’t perfect, and we’re always working to improve it, but that’s why it’s important we use it alongside many other signals to understand people’s ages. "
Meta44,Meta,2022,Introducing New Ways to Verify Age on Instagram,https://about.instagram.com/blog/announcements/new-ways-to-verify-age-on-instagram,Teens (13-17),Platform,Platform,Age Verification,Platform Access,,,ADDITIONAL_PROOF,,,"We’re testing new options for people to verify their age on Instagram, allowing us to provide age-appropriate experiences.
In addition to providing an ID, people will now be able to ask others to vouch for their age, or use technology that can confirm their age based on a video selfie.
We’re partnering with Yoti, a company that specializes in privacy-preserving ways to verify age.
Starting today, we’re testing new options for people on Instagram to verify their age, starting with people based in the US. If someone attempts to edit their date of birth on Instagram from under the age of 18 to 18 or over, we’ll require them to verify their age using one of three options: upload their ID, record a video selfie or ask mutual friends to verify their age. We’re testing this so we can make sure teens and adults are in the right experience for their age group. We are also partnering with Yoti, a company that specializes in online age verification, to help ensure people’s privacy.

In 2019, we began asking people to provide their age when signing up for Instagram. Since then, we’ve made this a requirement. Knowing people’s age allows us to provide appropriate experiences to different age groups, specifically teens."
Meta5,Meta,2013,Report a child under 13 on Instagram,https://help.instagram.com/517920941588885/?helpref=search&query=teen&search_session_id=a2bf3bf8ea1c5debe7fbc0da7bd42645&sr=33,ChildrenUnder13,Platform,Platform,Age Verification,Platform Access,,,,REPORTTING_ACCOUNT,,"Instagram requires everyone to be at least 13 years old before they can create an account (some regions like South Korea, Spain or Quebec have different age requirements). Accounts that represent someone under the age of 13 must clearly state in the account’s bio that the account is managed by a parent or manager, and provide identification to prove the account is run by an adult if requested. If your child is younger than 13 and has an account that isn’t managed by you or a manager, the account will be deleted."
Meta6,Meta,2013,Underage Children,https://help.instagram.com/290666591035380/?helpref=search&query=teen&search_session_id=a2bf3bf8ea1c5debe7fbc0da7bd42645&sr=7,ChildrenUnder13,Platform,Platform,Age Verification,Platform Access,,,,REPORTTING_ACCOUNT,,"If you'd like to report an account belonging to someone under 13 or if you believe someone is impersonating your child who's under 13, please fill out this form. We will delete the account if we can't verify the account is managed by someone over 13 years old."
